State,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year % Change,5-Year % Change
Alabama,4510,4782,4906,5244,5968,6487,7373,8001,8734,9161,9480,9746,10083,10650,10777,10922,10996,11338,11683,11890,0.02,0.1
Alaska,3435,3793,4194,4425,4678,4922,5261,5455,5785,5885,6138,6703,7128,7440,7821,8233,8610,8815,9024,9163,0.02,0.17
Arizona,4078,4434,4674,4959,5584,6554,8075,9435,9728,10078,10396,10634,10931,11210,11545,11879,11811,11820,12184,12583,0.03,0.09
Arkansas,4581,4980,5314,5599,5914,5980,6304,6654,6995,7251,7594,7882,8254,8550,8701,9036,9078,9250,9478,9734,0.03,0.12
California,4195,4526,4549,4951,5436,6550,7485,8933,8986,9078,9171,9267,9302,9800,9875,9854,9924,9943,10353,10641,0.03,0.08
Colorado,3733,4427,4772,5435,5792,6270,7078,7872,8441,9096,9283,9748,10287,10810,11157,11408,11483,11769,12185,12703,0.04,0.14
Connecticut,6336,6754,7135,7574,8038,8456,8977,9217,9635,10232,10646,11174,11781,12180,12744,13644,14221,14914,15780,16403,0.04,0.29
Delaware,6629,7050,7403,7808,8291,9012,9623,10438,10908,11259,11495,11676,11929,12180,12726,13275,13593,13901,14190,14775,0.04,0.16
District of Columbia,2520,2520,3210,3770,3770,5370,7000,7000,7244,7255,7338,7421,7844,8060,8252,8444,8636,8636,8636,8636,0,0.05
Florida,3054,3213,3315,3386,3825,4316,5034,5624,6235,6315,6334,6360,6355,6360,6353,6365,6365,6366,6364,6364,0,0
Georgia,3411,3678,3909,4181,4453,5008,5872,7298,7539,7823,8049,8447,8415,8580,8544,8790,8865,8885,8291,8306,0,-0.03
Hawaii,3386,3491,4227,5017,5823,6638,7458,8368,8613,9073,9696,10175,10651,10610,10801,10981,10999,10999,11102,11102,0,0.03
Idaho,3591,3922,4156,4382,4612,4886,5330,5682,5989,6325,6599,6818,7013,7250,7591,7999,7992,8000,8186,8598,0.05,0.13
Illinois,6494,6914,8058,9099,10021,10410,10969,11630,12168,12580,12791,13027,13440,13700,14000,14197,14450,14667,15012,15362,0.02,0.1
Indiana,5847,6155,6555,6875,7222,7643,7988,8343,8715,8926,9033,9120,9245,9380,9487,9691,9812,9937,10095,10371,0.03,0.09
Iowa,5407,5619,5900,6218,6433,6712,7155,7562,7831,7837,7855,7877,8270,8760,9081,9369,9374,9668,10115,10567,0.05,0.16
Kansas,4242,4699,5213,5746,6010,6312,6627,6920,7280,7729,8256,8443,8907,8880,9091,9211,9277,9363,9456,9915,0.05,0.09
Kentucky,4476,5029,5764,6279,6809,7116,7519,7974,8462,8701,9208,9567,9971,10320,10715,10932,11010,11169,11410,11819,0.04,0.1
Louisiana,3534,3695,3770,3830,4073,4282,4733,5246,5875,6605,7324,8130,8933,9310,9506,9840,9930,10042,10233,10238,0,0.08
Maine,5601,6065,6616,7334,8078,8544,8945,9366,9363,9391,9544,9573,9687,9900,10211,10519,10800,11031,11238,11754,0.05,0.15
Maryland,6770,7137,7216,7314,7392,7476,7737,7961,8210,8480,8682,9163,9358,9690,9907,10132,10136,10317,10573,10852,0.03,0.1
Massachusetts,7034,7335,7583,7887,8239,9239,9488,10165,10649,10748,10968,11615,12312,12790,13218,13697,13982,13986,14488,14839,0.02,0.12
Michigan,6294,7097,7673,8499,9130,9761,10135,10841,11193,11600,11599,11994,12477,13060,13446,13785,13975,14339,14864,15425,0.04,0.15
Minnesota,6463,6944,7518,7798,8317,8788,9387,10018,10361,10464,10564,10831,11016,11340,11531,11882,12027,12450,13020,13377,0.03,0.16
Mississippi,3991,4184,4450,4757,4947,4952,5294,5673,6159,6565,6859,7147,7481,7950,8416,8604,8665,8872,9109,9389,0.03,0.12
Missouri,5934,6271,6526,6845,7228,7215,7271,7685,7945,8093,8395,8553,8628,8500,8650,9013,9332,9803,10294,11547,0.12,0.34
Montana,4468,4918,5258,5302,5336,5485,5612,5881,6155,6225,6291,6351,6431,6910,7102,7208,7204,7265,7467,7863,0.05,0.11
Nebraska,4720,5302,5229,5581,5956,6234,6600,6906,7184,7315,7335,7608,7894,8290,8527,8745,9078,9093,9018,9352,0.04,0.1
Nevada,2874,3019,3645,3948,4397,4543,5318,6043,6390,6387,6427,6661,6910,7330,7667,7931,8269,8383,8600,8800,0.02,0.15
New Hampshire,8085,8584,9127,9698,10293,11075,11946,13502,14615,14652,14731,15160,15700,16080,16559,16907,16976,16991,17094,17171,0,0.04
New Jersey,7979,8601,9331,9974,10748,11133,11649,12030,12417,12723,13005,13306,13562,13860,14184,14550,14414,14963,15479,16261,0.05,0.15
New Mexico,3909,4247,4056,4248,4520,4786,5128,5435,5678,5960,6155,6406,6636,6920,7127,7431,8106,7975,8955,9088,0.02,0.28
New York,4948,5006,5041,5076,5121,5740,5793,6204,6562,6926,7293,7645,7710,7930,8159,8465,8477,8556,8582,8579,0,0.05
