2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year,In Current Dollars
13466.00,14248.00,15036.00,15906.00,17210.00,18348.00,18948.00,19502.00,20784.00,21854.00,22908.00,24257.00,26208.00,26640.00,26730.00,27853.20,29000.00,0.04,0.20,University of Alaska Fairbanks
16518.00,18000.00,19200.00,20500.00,21900.00,22950.00,23950.00,24950.00,25950.00,26950.00,28100.00,29230.00,30250.00,31090.00,31090.00,32300.00,33200.00,0.03,0.14,University of Alabama
14492.00,15278.00,15445.00,16000.00,17606.00,18434.00,19075.00,20302.00,21826.00,23168.00,24308.00,25168.00,25872.00,25870.00,26390.00,27410.00,28772.00,0.05,0.14,University of Arkansas
16271.00,18665.00,22572.00,24597.00,25509.00,26231.00,27073.00,29421.00,32600.00,36017.00,35307.00,36386.00,36600.00,36600.00,37238.00,39557.36,41000.00,0.04,0.13,University of Arizona
26784.00,28264.00,32418.00,33819.00,35713.00,35752.00,35742.00,35850.00,38139.00,40167.00,41942.00,43176.00,44007.00,44070.00,44187.00,46246.00,48176.00,0.04,0.12,University of California: Berkeley
24797.00,26756.00,28193.00,29493.00,30330.00,31378.00,32297.00,33151.00,34125.00,35079.00,36220.00,37286.00,38318.00,38320.00,38320.00,40356.00,41966.00,0.04,0.13,University of Colorado at Boulder
22786.00,24050.00,25584.00,26880.00,27566.00,29074.00,30970.00,32880.00,34908.00,35858.00,36948.00,38098.00,39894.00,40500.00,41460.00,42102.00,43034.00,0.02,0.13,University of Connecticut
19400.00,21126.00,23408.00,25408.00,27462.00,28772.00,29932.00,30692.00,31420.00,32250.00,33150.00,34310.00,35710.00,36080.00,36520.00,37930.00,39720.00,0.05,0.16,University of Delaware
17791.00,20640.00,23744.00,27322.00,27934.00,28420.00,28540.00,28590.00,28658.00,28658.00,28658.00,28658.00,28658.00,28660.00,28660.00,28659.00,28659.00,0.00,0.00,University of Florida
20726.00,22343.00,25946.00,26946.00,27682.00,28052.00,28472.00,29046.00,29832.00,29844.00,30392.00,30404.00,31120.00,31120.00,31120.00,30220.00,30220.00,0.00,-0.01,University of Georgia
14654.00,16915.00,19328.00,21536.00,23932.00,25652.00,27472.00,29412.00,31516.00,33764.00,33764.00,34002.00,34218.00,34220.00,34220.00,34218.00,34218.00,0.00,0.01,University of Hawaii at Manoa
19465.00,20658.00,22445.00,23713.00,25099.00,26279.00,26931.00,27409.00,27890.00,28413.00,30608.00,31233.00,31569.00,31570.00,31910.00,32316.00,32927.00,0.02,0.05,University of Iowa
14490.00,14712.00,15111.00,16994.00,18376.00,19000.00,19600.00,20314.00,21024.00,22040.00,23812.00,25500.00,27540.00,27540.00,27580.00,27632.00,28052.00,0.02,0.10,University of Idaho
25216.00,26024.00,26336.00,27238.00,27980.00,28664.00,29132.00,29646.00,30786.00,31320.00,31988.00,32574.00,33352.00,34050.00,34320.00,35110.00,36068.00,0.03,0.11,University of Illinois at Urbana-Champaign
22316.00,24769.00,26173.00,27689.00,29540.00,31483.00,32350.00,33241.00,33741.00,34246.00,34845.00,35456.00,36512.00,37600.00,38350.00,39119.70,40480.00,0.03,0.14,Indiana University Bloomington
17556.00,18909.00,20185.00,21538.00,22608.00,23748.00,24873.00,25731.00,26640.00,28239.00,26592.00,27358.00,28034.00,28030.00,28030.00,28035.00,29412.00,0.05,0.08,University of Kansas
14896.00,15884.00,16723.00,17678.00,18740.00,19864.00,21052.00,22734.00,24268.00,26156.00,27856.00,29099.00,30680.00,31290.00,31610.00,32276.00,33406.00,0.04,0.15,University of Kentucky
12843.00,13800.00,14415.00,16549.00,19362.00,22279.00,25798.00,26467.00,27005.00,27491.00,28051.00,28627.00,28639.00,28650.00,28640.00,28640.00,28640.00,0.00,0.00,Louisiana State University and Agricultural and Mechanical College
20499.00,21914.00,23414.00,23813.00,25585.00,26645.00,26830.00,27812.00,30689.00,32389.00,33477.00,34570.00,35710.00,36430.00,36960.00,38171.00,39323.00,0.03,0.14,University of Massachusetts Amherst
22208.00,23076.00,24156.00,24831.00,26026.00,27287.00,28347.00,29720.00,31144.00,32045.00,33606.00,35216.00,36891.00,36890.00,38640.00,39469.00,40306.00,0.02,0.14,University of Maryland: College Park
20540.00,22510.00,23972.00,25172.00,26308.00,27454.00,27970.00,28486.00,28880.00,29498.00,30282.00,30970.00,31748.00,32530.00,33590.00,33736.00,35346.00,0.05,0.14,University of Maine
31301.00,33069.00,34937.00,36001.00,37782.00,39122.00,40392.00,41906.00,43476.00,45410.00,47476.00,49350.00,51200.00,52270.00,53230.00,55334.00,58072.00,0.05,0.18,University of Michigan
21515.00,14634.00,15529.00,16503.00,18022.00,18709.00,19868.00,20876.00,22210.00,23806.00,26603.00,30371.00,33325.00,33440.00,33960.00,35099.00,36410.00,0.04,0.20,University of Minnesota: Twin Cities
18755.00,19558.00,19682.00,20516.00,21784.00,22440.00,22569.00,24460.00,25166.00,25892.00,26506.00,26949.00,28290.00,29010.00,30450.00,31970.36,34322.00,0.07,0.27,University of Missouri: Columbia
11436.00,12468.00,13046.00,13894.00,14797.00,16266.00,17728.00,19144.00,20674.00,22022.00,23564.00,24614.00,25100.00,25100.00,25780.00,26440.00,26980.00,0.02,0.10,University of Mississippi
15504.00,16425.00,17794.00,19172.00,20099.00,21077.00,21719.00,22372.00,23048.00,23669.00,24871.00,24959.00,26146.00,27260.00,28480.00,29634.00,31622.00,0.07,0.27,University of Montana
