In Current Dollars,STATE,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year,5-Year
University of Alaska Fairbanks,AK,4496.00,4828.00,5133.00,5316.00,5570.00,5898.00,5988.00,6182.00,6804.00,7184.00,7518.00,8087.00,8538.00,8980.00,9070.00,9882.00,10970.00,0.11,0.36
University of Alabama,AL,5700.00,6400.00,7000.00,7900.00,8600.00,9200.00,9450.00,9826.00,10170.00,10470.00,10780.00,10780.00,10780.00,11620.00,11620.00,11900.00,11900.00,0.00,0.10
University of Arkansas,AR,6038.00,6400.00,6459.00,6768.00,7174.00,7553.00,7818.00,8210.00,8522.00,8820.00,9062.00,9130.00,9380.00,9380.00,9570.00,9656.00,9748.00,0.01,0.07
University of Arizona,AZ,5037.00,5531.00,6855.00,8237.00,9299.00,10035.00,10391.00,10957.00,11403.00,11769.00,11877.00,12487.00,12600.00,12700.00,12716.00,13255.36,13600.00,0.03,0.09
University of California: Berkeley,CA,7164.00,7656.00,9749.00,10940.00,12835.00,12874.00,12864.00,12972.00,13431.00,13485.00,13928.00,14184.00,14253.00,14310.00,14433.00,15220.00,15602.00,0.03,0.10
University of Colorado at Boulder,CO,6635.00,7278.00,7932.00,8511.00,9152.00,9482.00,10529.00,10789.00,11091.00,11531.00,12086.00,12532.00,12500.00,12500.00,12500.00,13106.00,13622.00,0.04,0.09
University of Connecticut,CT,8842.00,9338.00,9886.00,10416.00,10670.00,11242.00,12022.00,12700.00,13364.00,14066.00,14880.00,15730.00,17226.00,17830.00,18520.00,19434.00,20366.00,0.05,0.29
University of Delaware,DE,8150.00,8646.00,9486.00,10208.00,11192.00,11682.00,12112.00,12342.00,12520.00,12830.00,13160.00,13680.00,14280.00,14650.00,15020.00,15410.00,16080.00,0.04,0.18
University of Florida,FL,3370.00,3790.00,4373.00,5045.00,5657.00,6143.00,6263.00,6313.00,6381.00,6381.00,6381.00,6381.00,6380.00,6380.00,6380.00,6381.00,6381.00,0.00,0.00
University of Georgia,GA,5259.00,5532.00,6172.00,7338.00,9472.00,9842.00,10262.00,10836.00,11622.00,11634.00,11818.00,11830.00,12080.00,12080.00,12080.00,11180.00,11180.00,0.00,-0.05
University of Hawaii at Manoa,HI,5390.00,6259.00,7168.00,8096.00,9100.00,9404.00,9904.00,10620.00,11164.00,11732.00,11732.00,11970.00,12190.00,12190.00,12190.00,12186.00,12186.00,0.00,0.02
University of Iowa,IA,6293.00,6544.00,6824.00,7417.00,7765.00,8057.00,8061.00,8079.00,8104.00,8325.00,8964.00,9267.00,9610.00,9610.00,9940.00,10353.00,10964.00,0.06,0.18
University of Idaho,ID,4410.00,4632.00,4932.00,5402.00,5856.00,6212.00,6524.00,6784.00,7020.00,7232.00,7488.00,7864.00,8300.00,8300.00,8340.00,8396.00,8816.00,0.05,0.12
University of Illinois at Urbana-Champaign,IL,11130.00,12240.00,12528.00,13096.00,13838.00,14522.00,14750.00,15020.00,15626.00,15698.00,15868.00,16004.00,16210.00,16600.00,16870.00,17138.00,17572.00,0.03,0.10
Indiana University Bloomington,IN,7837.00,8231.00,8613.00,9028.00,9524.00,10033.00,10209.00,10388.00,10388.00,10388.00,10533.00,10681.00,10947.00,11220.00,11330.00,11446.76,11790.00,0.03,0.10
University of Kansas,KS,7146.00,7705.00,8206.00,8733.00,9222.00,9678.00,10107.00,10448.00,10802.00,11455.00,10824.00,11148.00,11170.00,11170.00,11170.00,11167.00,11700.00,0.05,0.05
University of Kentucky,KY,7096.00,7736.00,8123.00,8610.00,9128.00,9676.00,9966.00,10464.00,10936.00,11320.00,11772.00,12245.00,12360.00,12480.00,12610.00,12859.00,13212.00,0.03,0.08
Louisiana State University and Agricultural and Mechanical College,LA,4543.00,5086.00,5233.00,5764.00,6354.00,7003.00,7880.00,8750.00,9842.00,10814.00,11374.00,11950.00,11960.00,11960.00,11960.00,11956.00,11956.00,0.00,0.00
University of Massachusetts Amherst,MA,9924.00,10417.00,11917.00,11917.00,12797.00,13230.00,13415.00,13443.00,14356.00,15156.00,15411.00,15887.00,16389.00,16440.00,16440.00,16952.00,17357.00,0.02,0.09
University of Maryland: College Park,MD,7969.00,8005.00,8053.00,8416.00,8655.00,8908.00,9161.00,9427.00,9996.00,10182.00,10399.00,10595.00,10780.00,10780.00,10960.00,11233.00,11505.00,0.02,0.09
University of Maine,ME,8330.00,9100.00,9626.00,10142.00,10588.00,10594.00,10600.00,10606.00,10610.00,10628.00,10902.00,11170.00,11438.00,11740.00,11990.00,12136.00,12606.00,0.04,0.13
University of Michigan,MI,10447.00,11037.00,11848.00,11837.00,12634.00,12994.00,13142.00,13486.00,13856.00,14402.00,14826.00,15262.00,15558.00,15950.00,16180.00,16736.00,17228.00,0.03,0.13
University of Minnesota: Twin Cities,MN,9885.00,10634.00,11287.00,12203.00,13022.00,13459.00,13618.00,13626.00,13790.00,14142.00,14417.00,14693.00,15027.00,15140.00,15370.00,15859.00,16496.00,0.04,0.12
University of Missouri: Columbia,MO,8099.00,8485.00,8501.00,8501.00,8989.00,9257.00,9415.00,9433.00,9509.00,9518.00,9787.00,9880.20,10269.00,10570.00,11100.00,11603.36,14122.00,0.22,0.43
University of Mississippi,MS,4932.00,5107.00,5106.00,5439.00,5792.00,6282.00,6760.00,7096.00,7444.00,7754.00,8300.00,8660.00,8830.00,8830.00,8930.00,9220.00,9412.00,0.02,0.09
University of Montana,MT,5141.00,5150.00,5330.00,5476.00,5722.00,5985.00,6045.00,6099.00,6158.00,6215.00,7063.00,7244.00,7354.00,7430.00,7490.00,7720.00,8152.00,0.06,0.13
University of North Carolina at Chapel Hill,NC,5340.00,5397.00,5625.00,6671.00,7008.00,7693.00,8340.00,8336.00,8591.00,8566.00,9005.00,8986.08,8990.00,8990.00,8998.00,8998.00,8998.00,0.00,0.00
University of North Dakota,ND,6130.00,6513.00,6726.00,6934.00,7092.00,7254.00,7508.00,7741.00,7965.00,8137.00,8447.00,8695.00,9736.00,10280.00,10600.00,10951.00,10951.00,0.00,0.26
