Year,National,Middle States,Midwest,New England,South,Southwest,West,UnivType,
90-91,910.00,1400.00,1200.00,1360.00,710.00,600.00,410.00,Public Two Year,
91-92,1170.00,1680.00,1290.00,1750.00,810.00,660.00,510.00,Public Two Year,
92-93,1120.00,1820.00,1430.00,1870.00,920.00,690.00,620.00,Public Two Year,
93-94,1250.00,1890.00,1500.00,2110.00,980.00,710.00,770.00,Public Two Year,
94-95,1310.00,2000.00,1550.00,2200.00,990.00,750.00,780.00,Public Two Year,
95-96,1330.00,2360.00,1600.00,2210.00,1040.00,830.00,810.00,Public Two Year,
96-97,1470.00,2530.00,1700.00,2300.00,1080.00,870.00,900.00,Public Two Year,
97-98,1570.00,2560.00,1750.00,2360.00,1190.00,940.00,930.00,Public Two Year,
98-99,1550.00,2620.00,1830.00,2300.00,1240.00,1000.00,1050.00,Public Two Year,
99-00,1650.00,2620.00,1830.00,2170.00,1270.00,1040.00,1010.00,Public Two Year,
00-01,1640.00,2650.00,1880.00,2150.00,1330.00,1130.00,960.00,Public Two Year,
01-02,1610.00,2740.00,2020.00,2280.00,1470.00,1120.00,910.00,Public Two Year,
02-03,1670.00,2950.00,2150.00,2620.00,1630.00,1220.00,970.00,Public Two Year,
03-04,1910.00,3080.00,2330.00,2960.00,1810.00,1360.00,1090.00,Public Two Year,
04-05,2080.00,3220.00,2550.00,3140.00,1950.00,1510.00,1290.00,Public Two Year,
05-06,2180.00,3360.00,2660.00,3270.00,2080.00,1610.00,1320.00,Public Two Year,
06-07,2270.00,3480.00,2840.00,3330.00,2150.00,1690.00,1310.00,Public Two Year,
07-08,2290.00,3410.00,2950.00,3540.00,2210.00,1740.00,1250.00,Public Two Year,
08-09,2380.00,3530.00,3070.00,3690.00,2340.00,1780.00,1290.00,Public Two Year,
09-10,2570.00,3720.00,3150.00,3980.00,2550.00,1860.00,1530.00,Public Two Year,
10-11,2740.00,3810.00,3340.00,4260.00,2810.00,1970.00,1640.00,Public Two Year,
11-12,2970.00,4090.00,3480.00,4420.00,3090.00,2150.00,1980.00,Public Two Year,
12-13,3150.00,4260.00,3630.00,4620.00,3240.00,2250.00,2290.00,Public Two Year,
13-14,3240.00,4420.00,3760.00,4690.00,3360.00,2330.00,2320.00,Public Two Year,
14-15,3340.00,4640.00,3900.00,4800.00,3480.00,2430.00,2430.00,Public Two Year,
15-16,3400.00,4850.00,4020.00,5070.00,3580.00,2490.00,2450.00,Public Two Year,
16-17,3460.00,4990.00,4090.00,5170.00,3680.00,2610.00,2320.00,Public Two Year,
17-18,3560.00,5120.00,4220.00,5370.00,3770.00,2740.00,2350.00,Public Two Year,
18-19,3630.00,5290.00,4340.00,5510.00,3850.00,2800.00,2410.00,Public Two Year,
19-20,3700.00,5410.00,4460.00,5650.00,3910.00,2920.00,2440.00,Public Two Year,
20-21,3750.00,5500.00,4650.00,5760.00,3910.00,3020.00,2460.00,Public Two Year,
21-22,3800.00,5550.00,4760.00,5800.00,3940.00,3040.00,2520.00,Public Two Year,
22-23,3890.00,5620.00,4830.00,5890.00,3990.00,3200.00,2600.00,Public Two Year,
23-24,3990.00,5770.00,4970.00,6060.00,4050.00,3310.00,2670.00,Public Two Year,
90-91,1910.00,2080.00,2130.00,2550.00,1800.00,1180.00,1400.00,Public four Year,
91-92,2110.00,2770.00,2300.00,3390.00,1880.00,1270.00,1690.00,Public four Year,
92-93,2330.00,3090.00,2620.00,3630.00,2010.00,1410.00,1970.00,Public four Year,
93-94,2540.00,3360.00,2770.00,3950.00,2180.00,1550.00,2240.00,Public four Year,
94-95,2710.00,3520.00,2920.00,4090.00,2260.00,1730.00,2490.00,Public four Year,
95-96,2810.00,3730.00,3100.00,4240.00,2320.00,1870.00,2560.00,Public four Year,
96-97,2980.00,3910.00,3260.00,4320.00,2430.00,2160.00,2590.00,Public four Year,
97-98,3110.00,4060.00,3470.00,4530.00,2540.00,2320.00,2680.00,Public four Year,
98-99,3250.00,4200.00,3650.00,4640.00,2680.00,2530.00,2660.00,Public four Year,
99-00,3360.00,4510.00,3810.00,4680.00,2730.00,2720.00,2680.00,Public four Year,
00-01,3510.00,4690.00,3990.00,4750.00,2910.00,2930.00,2750.00,Public four Year,
01-02,3770.00,4780.00,4220.00,4890.00,3190.00,3210.00,2930.00,Public four Year,
02-03,4100.00,5590.00,4890.00,5350.00,3380.00,3400.00,3030.00,Public four Year,
03-04,4650.00,5930.00,5450.00,6240.00,3810.00,3930.00,3700.00,Public four Year,
04-05,5130.00,6290.00,6070.00,6880.00,4130.00,4690.00,4120.00,Public four Year,
05-06,5490.00,6600.00,6570.00,7260.00,4430.00,5040.00,4470.00,Public four Year,
06-07,5800.00,6860.00,6930.00,7670.00,4730.00,5540.00,4650.00,Public four Year,
