Year,Public Two-Year,Public Four-Year,Private Nonprofit Four-Year
86-87,640.00,1260.00,5520.00
87-88,720.00,1420.00,5930.00
88-89,800.00,1520.00,6760.00
89-90,850.00,1640.00,7090.00
90-91,950.00,1800.00,7790.00
91-92,1130.00,2070.00,8280.00
92-93,1100.00,2260.00,8940.00
93-94,1200.00,2430.00,9400.00
94-95,1270.00,2590.00,9990.00
95-96,1400.00,2740.00,10530.00
96-97,1480.00,2880.00,11170.00
97-98,1530.00,3040.00,11810.00
98-99,1550.00,3160.00,12310.00
99-00,1600.00,3280.00,12950.00
00-01,1700.00,3380.00,13770.00
01-02,1750.00,3610.00,14900.00
02-03,1880.00,3950.00,15660.00
03-04,2070.00,4430.00,16290.00
04-05,2240.00,4850.00,17290.00
05-06,2370.00,5170.00,18230.00
06-07,2460.00,5450.00,19360.00
07-08,2460.00,5880.00,19850.00
08-09,2550.00,6270.00,21160.00
09-10,2720.00,6700.00,22170.00
10-11,2890.00,7170.00,23170.00
11-12,3110.00,7690.00,24010.00
12-13,3290.00,8030.00,24770.00
13-14,3400.00,8220.00,25600.00
14-15,3520.00,8480.00,26470.00
15-16,3610.00,8710.00,27380.00
16-17,3700.00,8980.00,28700.00
17-18,3790.00,9250.00,30040.00
18-19,3900.00,9470.00,30790.00
19-20,4000.00,9750.00,31820.00
20-21,4070.00,9860.00,32410.00
21-22,4130.00,10020.00,33010.00
22-23,4220.00,10200.00,34210.00
23-24,4330.00,10410.00,35130.00
