UnivType,Year,National,Middle States,Midwest,New England,South,Southwest,West
public-two-year,90-91,2130.00,3280.00,2810.00,3180.00,1660.00,1400.00,960.00
public-two-year,91-92,2630.00,3770.00,2900.00,3930.00,1820.00,1480.00,1150.00
public-two-year,92-93,2440.00,3970.00,3120.00,4080.00,2010.00,1500.00,1350.00
public-two-year,93-94,2650.00,4000.00,3170.00,4470.00,2070.00,1500.00,1630.00
public-two-year,94-95,2700.00,4130.00,3200.00,4540.00,2040.00,1550.00,1610.00
public-two-year,95-96,2670.00,4740.00,3210.00,4430.00,2090.00,1670.00,1630.00
public-two-year,96-97,2870.00,4930.00,3310.00,4480.00,2110.00,1700.00,1750.00
public-two-year,97-98,2990.00,4880.00,3330.00,4500.00,2270.00,1790.00,1770.00
public-two-year,98-99,2910.00,4920.00,3430.00,4320.00,2330.00,1880.00,1970.00
public-two-year,99-00,3030.00,4810.00,3360.00,3980.00,2330.00,1910.00,1850.00
public-two-year,00-01,2910.00,4710.00,3340.00,3820.00,2360.00,2010.00,1700.00
public-two-year,01-02,2780.00,4730.00,3490.00,3940.00,2540.00,1930.00,1570.00
public-two-year,02-03,2840.00,5010.00,3650.00,4450.00,2770.00,2070.00,1650.00
public-two-year,03-04,3170.00,5120.00,3870.00,4920.00,3010.00,2260.00,1810.00
public-two-year,04-05,3370.00,5210.00,4130.00,5080.00,3160.00,2440.00,2090.00
public-two-year,05-06,3410.00,5260.00,4170.00,5120.00,3260.00,2520.00,2070.00
public-two-year,06-07,3440.00,5280.00,4310.00,5050.00,3260.00,2560.00,1990.00
public-two-year,07-08,3380.00,5030.00,4350.00,5220.00,3260.00,2570.00,1840.00
public-two-year,08-09,3380.00,5010.00,4360.00,5240.00,3320.00,2530.00,1830.00
public-two-year,09-10,3660.00,5300.00,4490.00,5670.00,3640.00,2650.00,2180.00
public-two-year,10-11,3840.00,5340.00,4680.00,5970.00,3940.00,2760.00,2300.00
public-two-year,11-12,4040.00,5560.00,4730.00,6010.00,4200.00,2920.00,2690.00
public-two-year,12-13,4200.00,5670.00,4840.00,6150.00,4320.00,3000.00,3050.00
public-two-year,13-14,4250.00,5800.00,4940.00,6160.00,4410.00,3060.00,3050.00
public-two-year,14-15,4310.00,5990.00,5040.00,6200.00,4500.00,3140.00,3140.00
public-two-year,15-16,4390.00,6260.00,5190.00,6540.00,4620.00,3210.00,3160.00
public-two-year,16-17,4410.00,6360.00,5210.00,6590.00,4690.00,3330.00,2960.00
public-two-year,17-18,4440.00,6390.00,5270.00,6700.00,4700.00,3420.00,2930.00
public-two-year,18-19,4420.00,6440.00,5290.00,6710.00,4690.00,3410.00,2940.00
public-two-year,19-20,4430.00,6470.00,5340.00,6760.00,4680.00,3490.00,2920.00
