,National,Middle States,Midwest,New England,South,Southwest,West
90-91,910.00,1400.00,1200.00,1360.00,710.00,600.00,410.00
91-92,1170.00,1680.00,1290.00,1750.00,810.00,660.00,510.00
92-93,1120.00,1820.00,1430.00,1870.00,920.00,690.00,620.00
93-94,1250.00,1890.00,1500.00,2110.00,980.00,710.00,770.00
94-95,1310.00,2000.00,1550.00,2200.00,990.00,750.00,780.00
95-96,1330.00,2360.00,1600.00,2210.00,1040.00,830.00,810.00
96-97,1470.00,2530.00,1700.00,2300.00,1080.00,870.00,900.00
97-98,1570.00,2560.00,1750.00,2360.00,1190.00,940.00,930.00
98-99,1550.00,2620.00,1830.00,2300.00,1240.00,1000.00,1050.00
99-00,1650.00,2620.00,1830.00,2170.00,1270.00,1040.00,1010.00
00-01,1640.00,2650.00,1880.00,2150.00,1330.00,1130.00,960.00
01-02,1610.00,2740.00,2020.00,2280.00,1470.00,1120.00,910.00
02-03,1670.00,2950.00,2150.00,2620.00,1630.00,1220.00,970.00
03-04,1910.00,3080.00,2330.00,2960.00,1810.00,1360.00,1090.00
04-05,2080.00,3220.00,2550.00,3140.00,1950.00,1510.00,1290.00
05-06,2180.00,3360.00,2660.00,3270.00,2080.00,1610.00,1320.00
06-07,2270.00,3480.00,2840.00,3330.00,2150.00,1690.00,1310.00
07-08,2290.00,3410.00,2950.00,3540.00,2210.00,1740.00,1250.00
08-09,2380.00,3530.00,3070.00,3690.00,2340.00,1780.00,1290.00
09-10,2570.00,3720.00,3150.00,3980.00,2550.00,1860.00,1530.00
10-11,2740.00,3810.00,3340.00,4260.00,2810.00,1970.00,1640.00
11-12,2970.00,4090.00,3480.00,4420.00,3090.00,2150.00,1980.00
12-13,3150.00,4260.00,3630.00,4620.00,3240.00,2250.00,2290.00
13-14,3240.00,4420.00,3760.00,4690.00,3360.00,2330.00,2320.00
14-15,3340.00,4640.00,3900.00,4800.00,3480.00,2430.00,2430.00
15-16,3400.00,4850.00,4020.00,5070.00,3580.00,2490.00,2450.00
16-17,3460.00,4990.00,4090.00,5170.00,3680.00,2610.00,2320.00
17-18,3560.00,5120.00,4220.00,5370.00,3770.00,2740.00,2350.00
18-19,3630.00,5290.00,4340.00,5510.00,3850.00,2800.00,2410.00
19-20,3700.00,5410.00,4460.00,5650.00,3910.00,2920.00,2440.00
20-21,3750.00,5500.00,4650.00,5760.00,3910.00,3020.00,2460.00
21-22,3800.00,5550.00,4760.00,5800.00,3940.00,3040.00,2520.00
22-23,3890.00,5620.00,4830.00,5890.00,3990.00,3200.00,2600.00
23-24,3990.00,5770.00,4970.00,6060.00,4050.00,3310.00,2670.00
