Institution type,Institution,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
University of Minnesota,University of Minnesota-Crookston,37%,39%,38%,47%,47%,44%,48%,45%,54%,54%
University of Minnesota,University of Minnesota-Duluth,50%,52%,54%,55%,54%,59%,59%,60%,59%,59%
University of Minnesota,University of Minnesota-Morris,63%,59%,66%,60%,60%,63%,67%,65%,64%,59%
University of Minnesota,University of Minnesota-Rochester,,,,,,,,54%,55%,61%
University of Minnesota,University of Minnesota-Twin Cities,66%,68%,70%,70%,73%,75%,78%,77%,78%,80%
State University,Bemidji State University,50%,49%,52%,45%,46%,48%,46%,46%,46%,47%
State University,Metropolitan State University,20%,14%,26%,29%,35%,34%,34%,30%,42%,27%
State University,Minnesota State University Moorhead,41%,44%,43%,45%,46%,46%,42%,43%,42%,46%
State University,Minnesota State University-Mankato,52%,52%,50%,50%,52%,49%,50%,49%,51%,48%
State University,Saint Cloud State University,50%,50%,47%,49%,50%,48%,45%,42%,45%,44%
State University,Southwest Minnesota State University,41%,42%,40%,39%,41%,43%,43%,39%,50%,45%
State University,Winona State University,57%,52%,55%,54%,53%,56%,57%,58%,59%,61%
Private Nonprofit (4-Year),Augsburg University,56%,59%,60%,65%,60%,63%,63%,56%,57%,62%
Private Nonprofit (4-Year),Bethany Lutheran College,63%,52%,46%,51%,51%,49%,55%,49%,55%,52%
Private Nonprofit (4-Year),Bethel University,75%,72%,68%,73%,71%,71%,74%,74%,76%,71%
Private Nonprofit (4-Year),Carleton College,93%,92%,93%,93%,94%,92%,93%,95%,92%,94%
Private Nonprofit (4-Year),College of Saint Benedict,84%,78%,79%,81%,81%,82%,81%,85%,84%,82%
Private Nonprofit (4-Year),Concordia College at Moorhead,66%,66%,67%,69%,68%,71%,72%,73%,73%,70%
Private Nonprofit (4-Year),Concordia University-Saint Paul,50%,50%,53%,48%,47%,46%,46%,46%,52%,55%
Private Nonprofit (4-Year),Crown College,57%,55%,53%,53%,50%,56%,57%,56%,48%,67%
Private Nonprofit (4-Year),Dunwoody College of Technology (2 year),66%,54%,44%,38%,41%,41%,42%,48%,51%,64%
Private Nonprofit (4-Year),Gustavus Adolphus College,83%,85%,77%,82%,83%,82%,81%,82%,81%,80%
